,feature_importance,feature_names
0,5.626375282820351,scout_id
7,3.6709279215506907,player_weight
3,3.3718814581398,competitionId
6,3.2709293030917603,player_height
12,2.9771609634019365,player_general_var_4
1,2.9224155527764752,winner
199,1.5604206461280818,player_positional_raw_var_185
52,1.2482916309211227,player_other_raw_var_38
90,1.0571645953196105,player_other_raw_var_76
259,0.7080043043181696,player_positional_ratio_var_46
211,0.6981312420358755,player_other_raw_var_197
2,0.6073069362577364,team
5,0.5944658792529305,player_position_2
572,0.5328407686612581,team1_other_ratio_var_15
389,0.49696759205669433,player_offensive_derived_var_89
222,0.4618208769627024,player_other_ratio_var_9
123,0.45590340106046673,player_other_raw_var_109
577,0.4539290839760181,team1_other_ratio_var_20
324,0.4483402437509392,player_offensive_derived_var_24
680,0.42191476139645634,team2_other_raw_var_49
376,0.42041426076082,player_other_derived_var_76
730,0.41265064213205177,team2_defensive_ratio_var_5
795,0.4080347149108211,team2_defensive_derived_var_17
446,0.40652798557673786,player_general_derived_var_146
741,0.3970809142364099,team2_other_ratio_var_16
762,0.39169322408632307,team2_other_ratio_var_37
724,0.39093367782959165,team2_other_raw_var_93
573,0.3867102448374155,team1_other_ratio_var_16
4,0.3866617457447193,player_position_1
287,0.385042353736867,player_other_ratio_var_74
611,0.38201678264346145,team1_defensive_derived_var_1
578,0.3806137868607433,team1_other_ratio_var_21
254,0.3767675854871373,player_other_ratio_var_41
276,0.3745486086904709,player_other_ratio_var_63
740,0.3699789065026626,team2_other_ratio_var_15
620,0.36401726010955143,team1_defensive_derived_var_10
20,0.3607132073554806,player_other_raw_var_6
427,0.3519235101657748,player_offensive_derived_var_127
750,0.35066077270051066,team2_other_ratio_var_25
197,0.34608346006621704,player_other_raw_var_183
708,0.3460642055303223,team2_offensive_raw_var_77
255,0.3379133684046416,player_other_ratio_var_42
575,0.33772570950699765,team1_other_ratio_var_18
45,0.33586593098364304,player_offensive_raw_var_31
655,0.32755973311013914,team2_defensive_raw_var_24
261,0.32616434662522653,player_other_ratio_var_48
677,0.3259200281243831,team2_other_raw_var_46
274,0.32300623411872464,player_other_ratio_var_61
743,0.32061487819672585,team2_other_ratio_var_18
726,0.318929185839312,team2_other_ratio_var_1
786,0.3175059286519187,team2_defensive_derived_var_8
342,0.3170206891508459,player_other_derived_var_42
311,0.316548354587179,player_defensive_derived_var_11
364,0.3164755799613481,player_positional_derived_var_64
738,0.31392895445849384,team2_other_ratio_var_13
385,0.3123584074736098,player_positional_derived_var_85
92,0.31005262095056313,player_general_raw_var_78
511,0.3063410221600521,team1_other_raw_var_48
571,0.3052779946701028,team1_other_ratio_var_14
776,0.30313564967561213,team2_other_ratio_var_51
103,0.3013949488327273,player_other_raw_var_89
153,0.2989715729653164,player_other_raw_var_139
583,0.29761554040082133,team1_other_ratio_var_26
212,0.2941665439099519,player_physical_raw_var_198
788,0.2934406782016011,team2_defensive_derived_var_10
373,0.29284031544736033,player_offensive_derived_var_73
612,0.2893987944707622,team1_defensive_derived_var_2
769,0.2872874831099491,team2_other_ratio_var_44
521,0.2836164893037498,team1_other_raw_var_58
566,0.27836826949971116,team1_offensive_ratio_var_9
89,0.274599653499889,player_other_raw_var_75
297,0.2737508731518762,player_defensive_ratio_var_84
464,0.2730612561154121,team1_offensive_raw_var_1
509,0.2705246556996154,team1_other_raw_var_46
512,0.2697989769705297,team1_other_raw_var_49
256,0.2667832611666444,player_other_ratio_var_43
704,0.25895693204134895,team2_other_raw_var_73
597,0.2547192974942623,team1_other_ratio_var_40
765,0.25429786172320507,team2_other_ratio_var_40
349,0.25251217401674547,player_defensive_derived_var_49
616,0.25193585984842076,team1_defensive_derived_var_6
630,0.2507589480970028,team2_system_id
659,0.24853398679130917,team2_other_raw_var_28
329,0.24700044309764388,player_defensive_derived_var_29
355,0.24643869368804328,player_offensive_derived_var_55
603,0.2458982841556211,team1_other_ratio_var_46
273,0.2448721776337953,player_other_ratio_var_60
499,0.2445279838659531,team1_other_raw_var_36
409,0.24180228595104195,player_defensive_derived_var_109
686,0.24176690829030759,team2_other_raw_var_55
540,0.24070626376931098,team1_offensive_raw_var_77
268,0.24028490677802575,player_other_ratio_var_55
488,0.2387145086283253,team1_other_raw_var_25
136,0.23727935878456138,player_offensive_raw_var_122
761,0.2365145233273133,team2_other_ratio_var_36
133,0.23617468868988556,player_other_raw_var_119
10,0.2348820266672416,player_general_var_2
321,0.23427030166405377,player_offensive_derived_var_21
619,0.23381779693156246,team1_defensive_derived_var_9
196,0.23340329550567954,player_offensive_raw_var_182
205,0.2327980041823544,player_physical_raw_var_191
592,0.23136083752565945,team1_other_ratio_var_35
725,0.22604585563017734,team2_other_ratio_var_0
617,0.22298378837148747,team1_offensive_derived_var_7
408,0.22280114836446455,player_defensive_derived_var_108
130,0.22169325965145847,player_offensive_raw_var_116
269,0.21896038453505695,player_other_ratio_var_56
267,0.21755978055607617,player_offensive_ratio_var_54
623,0.2150640564479396,team1_offensive_derived_var_13
768,0.21502660304560703,team2_other_ratio_var_43
569,0.2135390978976623,team1_other_ratio_var_12
260,0.2132176473384792,player_positional_ratio_var_47
779,0.21259499654319058,team2_defensive_derived_var_1
72,0.21230356503614692,player_other_raw_var_58
579,0.21205594132284566,team1_other_ratio_var_22
224,0.2119613126011308,player_other_ratio_var_11
627,0.21175846360341033,team1_defensive_derived_var_17
794,0.2103643766452392,team2_offensive_derived_var_16
486,0.2100731942777798,team1_other_raw_var_23
454,0.20745044568585508,player_offensive_derived_var_154
242,0.20692252862110808,player_defensive_ratio_var_29
124,0.205886467904012,player_positional_raw_var_110
59,0.20572545421363292,player_other_raw_var_45
484,0.2056316419748156,team1_other_raw_var_21
58,0.20560940456786522,player_other_raw_var_44
225,0.20439517750304548,player_offensive_ratio_var_12
520,0.20347347344400935,team1_other_raw_var_57
507,0.20329808532910595,team1_other_raw_var_44
444,0.1992983705105014,player_other_derived_var_144
195,0.19914037360234907,player_other_raw_var_181
456,0.19899813524297516,player_general_derived_var_156
729,0.19670740366924946,team2_other_ratio_var_4
558,0.19527646127561865,team1_other_ratio_var_1
667,0.19519827760052158,team2_other_raw_var_36
415,0.19064663983259675,player_other_derived_var_115
557,0.18843934937652282,team1_other_ratio_var_0
150,0.1859268905503964,player_other_raw_var_136
79,0.18425888792771442,player_defensive_raw_var_65
463,0.18282191759903896,team1_other_raw_var_0
200,0.18277674082165335,player_offensive_raw_var_186
747,0.18260135416842463,team2_other_ratio_var_22
519,0.1821531685704739,team1_other_raw_var_56
618,0.1820869353162051,team1_defensive_derived_var_8
